Restaurant Name,Category,Dish,Price
Express Pizza - Gdańsk,Zestawy,Zestaw solo,"10,22 zł"
Express Pizza - Gdańsk,Zestawy,Zestaw sosów,"13,76 zł"
Express Pizza - Gdańsk,Zestawy,Zestaw must have,"13,49 zł"
Express Pizza - Gdańsk,Zestawy,Zestaw puszek,"14,95 zł"
Express Pizza - Gdańsk,Zestawy,Basic,"85,49 zł"
Express Pizza - Gdańsk,Zestawy,Combo,"97,49 zł"
Express Pizza - Gdańsk,Zestawy,3 pack,"127,76 zł"
Express Pizza - Gdańsk,Zestawy,All in,"146,76 zł"
Express Pizza - Gdańsk,Pizza,Margherita,"35,95 zł"
Express Pizza - Gdańsk,Pizza,Pepperoni,"41,95 zł"
Express Pizza - Gdańsk,Pizza,Hamon,"41,95 zł"
Express Pizza - Gdańsk,Pizza,Americana,"41,95 zł"
Express Pizza - Gdańsk,Pizza,Hawajska,"44,95 zł"
Express Pizza - Gdańsk,Pizza,Hot pepperoni,"44,95 zł"
Express Pizza - Gdańsk,Pizza,Express,"44,95 zł"
Express Pizza - Gdańsk,Pizza,Texas,"44,95 zł"
Express Pizza - Gdańsk,Pizza,Classic,"44,95 zł"
Express Pizza - Gdańsk,Pizza,Standard,"46,95 zł"
Express Pizza - Gdańsk,Pizza,Europejska,"46,95 zł"
Express Pizza - Gdańsk,Pizza,Spinachi,"46,95 zł"
Express Pizza - Gdańsk,Pizza,Quattro formaggi,"46,95 zł"
Express Pizza - Gdańsk,Pizza,Farmerska,"49,95 zł"
Express Pizza - Gdańsk,Pizza,Wegetariańska,"49,95 zł"
Express Pizza - Gdańsk,Pizza,Hot bacon,"49,95 zł"
Express Pizza - Gdańsk,Pizza,Marrakesh,"49,95 zł"
Express Pizza - Gdańsk,Pizza,Kanadyjska,"49,95 zł"
Express Pizza - Gdańsk,Pizza,Supreme,"52,95 zł"
Express Pizza - Gdańsk,Pizza,Super supreme,"52,95 zł"
Express Pizza - Gdańsk,Pizza,Deluxe,"52,95 zł"
Express Pizza - Gdańsk,Pizza,BBQ,"52,95 zł"
Express Pizza - Gdańsk,Pizza,Hot BBQ,"52,95 zł"
Express Pizza - Gdańsk,Pizza,Alpejska,"52,95 zł"
Express Pizza - Gdańsk,Pizza,Sweet heat,"52,95 zł"
Express Pizza - Gdańsk,Sosy,Sos czosnkowy,"5,22 zł"
Express Pizza - Gdańsk,Sosy,Sos pomidorowy,"5,22 zł"
Express Pizza - Gdańsk,Sosy,Sos pomidorowy ostry,"5,22 zł"
Express Pizza - Gdańsk,Sosy,Sos BBQ,"5,22 zł"
Express Pizza - Gdańsk,Sosy,Sos mango - jalapeño,"5,22 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola 0,33 l","6,95 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola zero 0,33 l","6,95 zł"
Express Pizza - Gdańsk,Napoje,"Fanta 0,33 l","6,95 zł"
Express Pizza - Gdańsk,Napoje,"Sprite 0,33 l","6,95 zł"
Express Pizza - Gdańsk,Napoje,"Kropla Beskidu niegazowana 0,5 l","5,95 zł"
Express Pizza - Gdańsk,Napoje,"Kropla Beskidu gazowana 0,5 l","5,95 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola zero 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Fanta 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Sprite 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Fuze tea brzoskwiniowa 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Fuze tea cytrynowa 0,5 l","8,95 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola 0,85 l","9,95 zł"
Express Pizza - Gdańsk,Napoje,"Coca-cola zero 0,85 l","9,95 zł"
Express Pizza - Gdańsk,Napoje,"Fanta 0,85 l","9,95 zł"
Express Pizza - Gdańsk,Napoje,"Sprite 0,85 l","9,95 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Zestaw solo,"10,22 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Zestaw sosów,"13,76 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Zestaw must have,"13,49 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Zestaw puszek,"14,95 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Basic,"85,49 zł"
Express Pizza Gdańsk - Chełm,Zestawy,Combo,"97,49 zł"
Express Pizza Gdańsk - Chełm,Zestawy,3 pack,"127,76 zł"
Express Pizza Gdańsk - Chełm,Zestawy,All in,"146,76 zł"
Express Pizza Gdańsk - Chełm,Pizza,Margherita,"35,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Pepperoni,"41,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Hamon,"41,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Americana,"41,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Hawajska,"44,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Hot pepperoni,"44,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Express,"44,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Texas,"44,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Classic,"44,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Standard,"46,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Europejska,"46,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Spinachi,"46,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Quattro formaggi,"46,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Farmerska,"49,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Wegetariańska,"49,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Hot bacon,"49,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Marrakesh,"49,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Kanadyjska,"49,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Supreme,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Super supreme,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Deluxe,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,BBQ,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Hot BBQ,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Alpejska,"52,95 zł"
Express Pizza Gdańsk - Chełm,Pizza,Sweet heat,"52,95 zł"
Express Pizza Gdańsk - Chełm,Sosy,Sos czosnkowy,"5,22 zł"
Express Pizza Gdańsk - Chełm,Sosy,Sos pomidorowy,"5,22 zł"
Express Pizza Gdańsk - Chełm,Sosy,Sos pomidorowy ostry,"5,22 zł"
Express Pizza Gdańsk - Chełm,Sosy,Sos BBQ,"5,22 zł"
Express Pizza Gdańsk - Chełm,Sosy,Sos mango - jalapeño,"5,22 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola 0,33 l","6,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola zero 0,33 l","6,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Fanta 0,33 l","6,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Sprite 0,33 l","6,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Kropla Beskidu niegazowana 0,5 l","5,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Kropla Beskidu gazowana 0,5 l","5,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola zero 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Fanta 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Sprite 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Fuze tea brzoskwiniowa 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Fuze tea cytrynowa 0,5 l","8,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola 0,85 l","9,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Coca-cola zero 0,85 l","9,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Fanta 0,85 l","9,95 zł"
Express Pizza Gdańsk - Chełm,Napoje,"Sprite 0,85 l","9,95 zł"
Palec Do Budki,Startery,Marynowane oliwki,"19,00 zł"
Palec Do Budki,Startery,Foccacia,"19,00 zł"
Palec Do Budki,Startery,Krem z pomidorów,"26,00 zł"
Palec Do Budki,Startery,Caprese,"29,00 zł"
Palec Do Budki,Startery,Burrata e anchois,"35,00 zł"
Palec Do Budki,Startery,Burrata e san daniele,"38,00 zł"
Palec Do Budki,Startery,Krewetki w marynacie,"44,00 zł"
Palec Do Budki,Startery,Krewetki spianata,"44,00 zł"
Palec Do Budki,Startery,Tatar wołowy,"41,00 zł"
Palec Do Budki,Startery,Carpaccio z ośmiornicy,"44,00 zł"
Palec Do Budki,Startery,Carpaccio wołowe,"42,00 zł"
Palec Do Budki,Startery,Antipasti,"89,00 zł"
Palec Do Budki,Pizze Rosse,Marinara,"28,00 zł"
Palec Do Budki,Pizze Rosse,Margheritta,"29,00 zł"
Palec Do Budki,Pizze Rosse,El vegano,"31,00 zł"
Palec Do Budki,Pizze Rosse,Salami,"38,00 zł"
Palec Do Budki,Pizze Rosse,Diavola,"39,00 zł"
Palec Do Budki,Pizze Rosse,Cotto,"39,00 zł"
Palec Do Budki,Pizze Rosse,Nduja,"39,00 zł"
Palec Do Budki,Pizze Rosse,Crudo,"41,00 zł"
Palec Do Budki,Pizze Speciali,Formaggio caprino,"39,00 zł"
Palec Do Budki,Pizze Speciali,Cipolla,"41,00 zł"
Palec Do Budki,Pizze Speciali,Porro,"41,00 zł"
Palec Do Budki,Pizze Speciali,Tartufo,"43,00 zł"
Palec Do Budki,Pizze Speciali,Liberta,"44,00 zł"
Palec Do Budki,Pizze Speciali,La crema,"46,00 zł"
Palec Do Budki,Pizze Speciali,Breasola,"46,00 zł"
Palec Do Budki,Pizze Speciali,Burrata,"46,00 zł"
Palec Do Budki,Pizze Speciali,Tartufo crema,"46,00 zł"
Palec Do Budki,Pizze Speciali,'Nduja miele peperoncino,"46,00 zł"
Palec Do Budki,Pizze Speciali,Gamberi,"47,00 zł"
Palec Do Budki,Pizze Speciali,Crudo straciatella,"47,00 zł"
